village,district,state
Sahri,Reasi,JAMMU & KASHMIR
Sukhal Ghat,Reasi,JAMMU & KASHMIR
Devi Garh,Reasi,JAMMU & KASHMIR
Toot,Reasi,JAMMU & KASHMIR
Danga Kot,Reasi,JAMMU & KASHMIR
Charala Kot,Reasi,JAMMU & KASHMIR
Syal Sagarh,Reasi,JAMMU & KASHMIR
Atrana Kot,Reasi,JAMMU & KASHMIR
Harot Kot,Reasi,JAMMU & KASHMIR
Gran Bayotran,Reasi,JAMMU & KASHMIR
Ghialah,Reasi,JAMMU & KASHMIR
Tranth,Reasi,JAMMU & KASHMIR
Aghar Balian,Reasi,JAMMU & KASHMIR
Dogalah Khurd (Un-inhabited),Reasi,JAMMU & KASHMIR
Biji Pur,Reasi,JAMMU & KASHMIR
Sila,Reasi,JAMMU & KASHMIR
Nambal,Reasi,JAMMU & KASHMIR
Doglah Kalan,Reasi,JAMMU & KASHMIR
Bidha,Reasi,JAMMU & KASHMIR
Jadh,Reasi,JAMMU & KASHMIR
Shahpur,Reasi,JAMMU & KASHMIR
Kans Khasan,Reasi,JAMMU & KASHMIR
Patta,Reasi,JAMMU & KASHMIR
Kharal,Reasi,JAMMU & KASHMIR
Nagar,Reasi,JAMMU & KASHMIR
Kolsar,Reasi,JAMMU & KASHMIR
Gan,Reasi,JAMMU & KASHMIR
Dhanwan,Reasi,JAMMU & KASHMIR
Salona (Salone),Reasi,JAMMU & KASHMIR
Daroon,Reasi,JAMMU & KASHMIR
Pouni,Reasi,JAMMU & KASHMIR
Kulhar,Reasi,JAMMU & KASHMIR
Kanah,Reasi,JAMMU & KASHMIR
Puria,Reasi,JAMMU & KASHMIR
Sadheen,Reasi,JAMMU & KASHMIR
Khera Lehar,Reasi,JAMMU & KASHMIR
Lehrh,Reasi,JAMMU & KASHMIR
Garan Jagir,Reasi,JAMMU & KASHMIR
Dab Jagir,Reasi,JAMMU & KASHMIR
Letar,Reasi,JAMMU & KASHMIR
Kathian,Reasi,JAMMU & KASHMIR
Thid,Reasi,JAMMU & KASHMIR
Kote Jagir,Reasi,JAMMU & KASHMIR
Taryool,Reasi,JAMMU & KASHMIR
Dadooa,Reasi,JAMMU & KASHMIR
Gahi Jagir,Reasi,JAMMU & KASHMIR
Mangahi Jagir,Reasi,JAMMU & KASHMIR
Bhagate Khalsa,Reasi,JAMMU & KASHMIR
Bhagate Jagir,Reasi,JAMMU & KASHMIR
Sadheri Jagir,Reasi,JAMMU & KASHMIR
Bhambla,Reasi,JAMMU & KASHMIR
Kharoti Jagir,Reasi,JAMMU & KASHMIR
Sadhote,Reasi,JAMMU & KASHMIR
Gudar Khalsa,Reasi,JAMMU & KASHMIR
Reyala Jagir,Reasi,JAMMU & KASHMIR
Gudar Jagir,Reasi,JAMMU & KASHMIR
Sungal,Reasi,JAMMU & KASHMIR
Dab Khalsa,Reasi,JAMMU & KASHMIR
Majra Kund,Reasi,JAMMU & KASHMIR
Kund Kanahrhi,Reasi,JAMMU & KASHMIR
Kharah,Reasi,JAMMU & KASHMIR
Khanyarhi,Reasi,JAMMU & KASHMIR
Jardhi,Reasi,JAMMU & KASHMIR
Gangas,Reasi,JAMMU & KASHMIR
Malel,Reasi,JAMMU & KASHMIR
Chhitar,Reasi,JAMMU & KASHMIR
Garan Khalsa,Reasi,JAMMU & KASHMIR
Kans Brahmana,Reasi,JAMMU & KASHMIR
Pandhal,Reasi,JAMMU & KASHMIR
Jambri,Reasi,JAMMU & KASHMIR
Jirhi,Reasi,JAMMU & KASHMIR
Bhabar Rosyalan,Reasi,JAMMU & KASHMIR
Panasa,Reasi,JAMMU & KASHMIR
Dosanoon,Reasi,JAMMU & KASHMIR
Sokitar,Reasi,JAMMU & KASHMIR
Anji,Reasi,JAMMU & KASHMIR
Chamyara,Reasi,JAMMU & KASHMIR
Karin,Reasi,JAMMU & KASHMIR
Kheri Kot,Reasi,JAMMU & KASHMIR
Dhar Vishnu Devi,Reasi,JAMMU & KASHMIR
Hut,Reasi,JAMMU & KASHMIR
Pharthal,Reasi,JAMMU & KASHMIR
Kotli Manotrian,Reasi,JAMMU & KASHMIR
Kaharwah,Reasi,JAMMU & KASHMIR
Bhaga,Reasi,JAMMU & KASHMIR
Kundrah,Reasi,JAMMU & KASHMIR
Bhabar Brahmana,Reasi,JAMMU & KASHMIR
Dera Baba Bandha,Reasi,JAMMU & KASHMIR
Mansooh,Reasi,JAMMU & KASHMIR
Tanda,Reasi,JAMMU & KASHMIR
Aghar Jitoo,Reasi,JAMMU & KASHMIR
Bhangal,Reasi,JAMMU & KASHMIR
Garan,Reasi,JAMMU & KASHMIR
Pangath,Reasi,JAMMU & KASHMIR
Akhli,Reasi,JAMMU & KASHMIR
Saroon,Reasi,JAMMU & KASHMIR
Batan,Reasi,JAMMU & KASHMIR
Kanjli,Reasi,JAMMU & KASHMIR
Chhapanoou,Reasi,JAMMU & KASHMIR
Kotli Bajialan,Reasi,JAMMU & KASHMIR
Kun Daroorian,Reasi,JAMMU & KASHMIR
Arli Hansali,Reasi,JAMMU & KASHMIR
Dhanori,Reasi,JAMMU & KASHMIR
Latoori,Reasi,JAMMU & KASHMIR
Sarna,Reasi,JAMMU & KASHMIR
Dudura,Reasi,JAMMU & KASHMIR
Chandwa,Reasi,JAMMU & KASHMIR
Talen,Reasi,JAMMU & KASHMIR
Nelay,Reasi,JAMMU & KASHMIR
Manun,Reasi,JAMMU & KASHMIR
Prooh,Reasi,JAMMU & KASHMIR
Serli,Reasi,JAMMU & KASHMIR
Sule,Reasi,JAMMU & KASHMIR
Pamote,Reasi,JAMMU & KASHMIR
Kakrial,Reasi,JAMMU & KASHMIR
Treen Meari,Reasi,JAMMU & KASHMIR
Kandiyar,Reasi,JAMMU & KASHMIR
Dhror,Reasi,JAMMU & KASHMIR
Chak Bhagta,Reasi,JAMMU & KASHMIR
Bhagta,Reasi,JAMMU & KASHMIR
Dhirti,Reasi,JAMMU & KASHMIR
Kunkanyalan,Reasi,JAMMU & KASHMIR
Panthal,Reasi,JAMMU & KASHMIR
Sira ,Reasi,JAMMU & KASHMIR
Kotla,Reasi,JAMMU & KASHMIR
Talwara (CT),Reasi,JAMMU & KASHMIR
Marhi (CT),Reasi,JAMMU & KASHMIR
Jammu,Jammu,JAMMU & KASHMIR
Akhnoor,Jammu,JAMMU & KASHMIR
Khara,Jammu,JAMMU & KASHMIR
Seri Palai,Jammu,JAMMU & KASHMIR
Mala,Jammu,JAMMU & KASHMIR
Pukharni,Jammu,JAMMU & KASHMIR
Dagir,Jammu,JAMMU & KASHMIR
Saliohat,Jammu,JAMMU & KASHMIR
Sandel,Jammu,JAMMU & KASHMIR
Rah,Jammu,JAMMU & KASHMIR
Ghar,Jammu,JAMMU & KASHMIR
Hardo Malwara,Jammu,JAMMU & KASHMIR
Kanchri (Ghaneri),Jammu,JAMMU & KASHMIR
Rameen Makhian,Jammu,JAMMU & KASHMIR
Tulgaru,Jammu,JAMMU & KASHMIR
Choki,Jammu,JAMMU & KASHMIR
Jothal,Jammu,JAMMU & KASHMIR
Gour Bajorian,Jammu,JAMMU & KASHMIR
Karial,Jammu,JAMMU & KASHMIR
Balsaro,Jammu,JAMMU & KASHMIR
Gangal,Jammu,JAMMU & KASHMIR
Lathery,Jammu,JAMMU & KASHMIR
Adgan,Jammu,JAMMU & KASHMIR
Khakhial (Khakhrial),Jammu,JAMMU & KASHMIR
Manoh,Jammu,JAMMU & KASHMIR
Giur,Jammu,JAMMU & KASHMIR
Manoha,Jammu,JAMMU & KASHMIR
Kathar,Jammu,JAMMU & KASHMIR
Pail,Jammu,JAMMU & KASHMIR
Kaha,Jammu,JAMMU & KASHMIR
Gosian,Jammu,JAMMU & KASHMIR
Nore,Jammu,JAMMU & KASHMIR
Jakh,Jammu,JAMMU & KASHMIR
Garatal,Jammu,JAMMU & KASHMIR
Dahara,Jammu,JAMMU & KASHMIR
Ardhan(Atonan),Jammu,JAMMU & KASHMIR
Godhan,Jammu,JAMMU & KASHMIR
Kandi,Jammu,JAMMU & KASHMIR
Phagal,Jammu,JAMMU & KASHMIR
Chigial,Jammu,JAMMU & KASHMIR
Bain Lehar,Jammu,JAMMU & KASHMIR
Nara,Jammu,JAMMU & KASHMIR
Tila,Jammu,JAMMU & KASHMIR
Chohara,Jammu,JAMMU & KASHMIR
Bandral Khurd,Jammu,JAMMU & KASHMIR
Gandharwan,Jammu,JAMMU & KASHMIR
Kotli,Jammu,JAMMU & KASHMIR
Gargal,Jammu,JAMMU & KASHMIR
Sangani,Jammu,JAMMU & KASHMIR
Barola,Jammu,JAMMU & KASHMIR
Barui,Jammu,JAMMU & KASHMIR
Nardi,Jammu,JAMMU & KASHMIR
Mandrian,Jammu,JAMMU & KASHMIR
Mera Jagir,Jammu,JAMMU & KASHMIR
Mund,Jammu,JAMMU & KASHMIR
Rahani Jagwal,Jammu,JAMMU & KASHMIR
Pian,Jammu,JAMMU & KASHMIR
Balgara,Jammu,JAMMU & KASHMIR
Dehargaha,Jammu,JAMMU & KASHMIR
Targwal,Jammu,JAMMU & KASHMIR
Bandral Kalan,Jammu,JAMMU & KASHMIR
Bhardah Kalan,Jammu,JAMMU & KASHMIR
Sungal,Jammu,JAMMU & KASHMIR
Chak Raja,Jammu,JAMMU & KASHMIR
Pingiari,Jammu,JAMMU & KASHMIR
Manani,Jammu,JAMMU & KASHMIR
Mawa Brahmana,Jammu,JAMMU & KASHMIR
Chariae (Charial),Jammu,JAMMU & KASHMIR
Dana,Jammu,JAMMU & KASHMIR
Budhy,Jammu,JAMMU & KASHMIR
Majhoor,Jammu,JAMMU & KASHMIR
Lohara,Jammu,JAMMU & KASHMIR
Dori,Jammu,JAMMU & KASHMIR
Nathal,Jammu,JAMMU & KASHMIR
Jogwan,Jammu,JAMMU & KASHMIR
Dhakhar,Jammu,JAMMU & KASHMIR
Batal,Jammu,JAMMU & KASHMIR
Chakla (Un-inhabited),Jammu,JAMMU & KASHMIR
Matrial (Un-inhabited),Jammu,JAMMU & KASHMIR
Barroh,Jammu,JAMMU & KASHMIR
Kalah,Jammu,JAMMU & KASHMIR
Kharah,Jammu,JAMMU & KASHMIR
Bali,Jammu,JAMMU & KASHMIR
Kitial Simbal,Jammu,JAMMU & KASHMIR
Thandi Choi,Jammu,JAMMU & KASHMIR
Lahar,Jammu,JAMMU & KASHMIR
Chahjar,Jammu,JAMMU & KASHMIR
Jogiani,Jammu,JAMMU & KASHMIR
Basiara,Jammu,JAMMU & KASHMIR
Jad,Jammu,JAMMU & KASHMIR
Bhalwal Brahmana,Jammu,JAMMU & KASHMIR
Jomotian,Jammu,JAMMU & KASHMIR
Garh,Jammu,JAMMU & KASHMIR
Gurah Jagir,Jammu,JAMMU & KASHMIR
Bargal Kalan,Jammu,JAMMU & KASHMIR
Bargal Khurd,Jammu,JAMMU & KASHMIR
Gurah Brahmana,Jammu,JAMMU & KASHMIR
Palwan,Jammu,JAMMU & KASHMIR
Bhardah Khurd,Jammu,JAMMU & KASHMIR
Sanehal,Jammu,JAMMU & KASHMIR
Anmbaran,Jammu,JAMMU & KASHMIR
Dasgal,Jammu,JAMMU & KASHMIR
Manda,Jammu,JAMMU & KASHMIR
Mewa Karora,Jammu,JAMMU & KASHMIR
Airn Pur,Jammu,JAMMU & KASHMIR
Bhatiare,Jammu,JAMMU & KASHMIR
Rakh Kharoon,Jammu,JAMMU & KASHMIR
Jagial,Jammu,JAMMU & KASHMIR
Dub,Jammu,JAMMU & KASHMIR
Kot,Jammu,JAMMU & KASHMIR
Lahrian,Jammu,JAMMU & KASHMIR
Sangranpur (Sangram Pur),Jammu,JAMMU & KASHMIR
Bamhal,Jammu,JAMMU & KASHMIR
Dahoke Jagir,Jammu,JAMMU & KASHMIR
Chak Badialan,Jammu,JAMMU & KASHMIR
Kainkh Jagir,Jammu,JAMMU & KASHMIR
Kangral Sangral,Jammu,JAMMU & KASHMIR
Nad,Jammu,JAMMU & KASHMIR
Fatwal,Jammu,JAMMU & KASHMIR
Chak Nazala,Jammu,JAMMU & KASHMIR
Bhiry Tarrie,Jammu,JAMMU & KASHMIR
Rathan Pur,Jammu,JAMMU & KASHMIR
Chak Bhawan (Un-inhabited),Jammu,JAMMU & KASHMIR
Chak Bhagwan,Jammu,JAMMU & KASHMIR
Dahok Khalsa,Jammu,JAMMU & KASHMIR
Kandial,Jammu,JAMMU & KASHMIR
Rajwal,Jammu,JAMMU & KASHMIR
Dhangar,Jammu,JAMMU & KASHMIR
Khohara,Jammu,JAMMU & KASHMIR
Kaleeth,Jammu,JAMMU & KASHMIR
Sahar,Jammu,JAMMU & KASHMIR
Chajwal,Jammu,JAMMU & KASHMIR
Khore,Jammu,JAMMU & KASHMIR
Pahari Wala,Jammu,JAMMU & KASHMIR
Kot Maira,Jammu,JAMMU & KASHMIR
Bhagwan Chak,Jammu,JAMMU & KASHMIR
Pallan Wala,Jammu,JAMMU & KASHMIR
Panj Toot,Jammu,JAMMU & KASHMIR
Kachrial,Jammu,JAMMU & KASHMIR
Sahamuna,Jammu,JAMMU & KASHMIR
Chaprial,Jammu,JAMMU & KASHMIR
Platan,Jammu,JAMMU & KASHMIR
Dar,Jammu,JAMMU & KASHMIR
Chhani Diwanan,Jammu,JAMMU & KASHMIR
Laham,Jammu,JAMMU & KASHMIR
Nikian,Jammu,JAMMU & KASHMIR
Khunda,Jammu,JAMMU & KASHMIR
Nandwal,Jammu,JAMMU & KASHMIR
Chak Malal,Jammu,JAMMU & KASHMIR
Malal Ahgal,Jammu,JAMMU & KASHMIR
Taroti,Jammu,JAMMU & KASHMIR
Danwal,Jammu,JAMMU & KASHMIR
Gari Bishna,Jammu,JAMMU & KASHMIR
Gari Nanda,Jammu,JAMMU & KASHMIR
Rakh Dhok (Jourian),Jammu,JAMMU & KASHMIR
Maira,Jammu,JAMMU & KASHMIR
Potha Kandial,Jammu,JAMMU & KASHMIR
Bandwal,Jammu,JAMMU & KASHMIR
Rakh Muthi,Jammu,JAMMU & KASHMIR
Muthi,Jammu,JAMMU & KASHMIR
Chak Krapal Pur,Jammu,JAMMU & KASHMIR
Dal Pat,Jammu,JAMMU & KASHMIR
Bhor,Jammu,JAMMU & KASHMIR
Devi Pur,Jammu,JAMMU & KASHMIR
Chak Biasa,Jammu,JAMMU & KASHMIR
Gakhral,Jammu,JAMMU & KASHMIR
Sidharwan,Jammu,JAMMU & KASHMIR
Khund Pur (Un-inhabited),Jammu,JAMMU & KASHMIR
Pargawal,Jammu,JAMMU & KASHMIR
Seetriala,Jammu,JAMMU & KASHMIR
Chak Skandar,Jammu,JAMMU & KASHMIR
Indri,Jammu,JAMMU & KASHMIR
Man Chak,Jammu,JAMMU & KASHMIR
Badhan,Jammu,JAMMU & KASHMIR
Dahou Chak,Jammu,JAMMU & KASHMIR
Dadora,Jammu,JAMMU & KASHMIR
Dohal,Jammu,JAMMU & KASHMIR
Matoo,Jammu,JAMMU & KASHMIR
Kalian (Un-inhabited),Jammu,JAMMU & KASHMIR
Dhalan,Jammu,JAMMU & KASHMIR
Bardiyal,Jammu,JAMMU & KASHMIR
Marchanji,Jammu,JAMMU & KASHMIR
Chak Rama,Jammu,JAMMU & KASHMIR
Doian,Jammu,JAMMU & KASHMIR
Badwal,Jammu,JAMMU & KASHMIR
Sri Partap Singh Pora (Un-inhabited),Jammu,JAMMU & KASHMIR
Gee Garial,Jammu,JAMMU & KASHMIR
Kharota,Jammu,JAMMU & KASHMIR
Magial Lalu,Jammu,JAMMU & KASHMIR
Dehrian,Jammu,JAMMU & KASHMIR
Pangali,Jammu,JAMMU & KASHMIR
Baho Pur,Jammu,JAMMU & KASHMIR
Datial,Jammu,JAMMU & KASHMIR
Danpour,Jammu,JAMMU & KASHMIR
Chak Kora,Jammu,JAMMU & KASHMIR
Bakor,Jammu,JAMMU & KASHMIR
Gawar,Jammu,JAMMU & KASHMIR
Sajwal,Jammu,JAMMU & KASHMIR
Bhalwal Moolo,Jammu,JAMMU & KASHMIR
Bhalwal Bharath,Jammu,JAMMU & KASHMIR
Prag Pur (Un-inhabited),Jammu,JAMMU & KASHMIR
Mal Jodha (Un-inhabited),Jammu,JAMMU & KASHMIR
Najwal,Jammu,JAMMU & KASHMIR
Sarwal,Jammu,JAMMU & KASHMIR
Phagwari,Jammu,JAMMU & KASHMIR
Tagwal,Jammu,JAMMU & KASHMIR
Gurah Manhasan,Jammu,JAMMU & KASHMIR
Kotli Manhasan (Un-inhabited),Jammu,JAMMU & KASHMIR
Gujral,Jammu,JAMMU & KASHMIR
Hamir Pur Nawan,Jammu,JAMMU & KASHMIR
Sainth,Jammu,JAMMU & KASHMIR
Magial Abtara,Jammu,JAMMU & KASHMIR
Garar,Jammu,JAMMU & KASHMIR
Chhani Zulfu (Un-inhabited),Jammu,JAMMU & KASHMIR
Chak Sher (Un-inhabited),Jammu,JAMMU & KASHMIR
Chak Agwar (Un-inhabited),Jammu,JAMMU & KASHMIR
Chak Takhu (Un-inhabited),Jammu,JAMMU & KASHMIR
Sidhar (Un-inhabited),Jammu,JAMMU & KASHMIR
Ranbir Singh Pora (Un-inhabited),Jammu,JAMMU & KASHMIR
Hamir Pur Kohna,Jammu,JAMMU & KASHMIR
Diawrah,Jammu,JAMMU & KASHMIR
Chak Phagwari,Jammu,JAMMU & KASHMIR
Chak Tagwal (Un-inhabited),Jammu,JAMMU & KASHMIR
Pindi,Jammu,JAMMU & KASHMIR
Rajpora,Jammu,JAMMU & KASHMIR
Jowana Bela,Jammu,JAMMU & KASHMIR
Chhani Thana,Jammu,JAMMU & KASHMIR
Nikowal,Jammu,JAMMU & KASHMIR
Jammu,Jammu,JAMMU & KASHMIR
Jhakar,Jammu,JAMMU & KASHMIR
Lahsoo,Jammu,JAMMU & KASHMIR
Gordah,Jammu,JAMMU & KASHMIR
Bagani,Jammu,JAMMU & KASHMIR
Rawta,Jammu,JAMMU & KASHMIR
Dhanoon,Jammu,JAMMU & KASHMIR
Dhung,Jammu,JAMMU & KASHMIR
Handwal,Jammu,JAMMU & KASHMIR
Aurhak,Jammu,JAMMU & KASHMIR
Galali,Jammu,JAMMU & KASHMIR
Padmi,Jammu,JAMMU & KASHMIR
Ramgarh,Jammu,JAMMU & KASHMIR
Sarot,Jammu,JAMMU & KASHMIR
Keri,Jammu,JAMMU & KASHMIR
Mathwoor,Jammu,JAMMU & KASHMIR
Bamyal,Jammu,JAMMU & KASHMIR
Marh,Jammu,JAMMU & KASHMIR
Dong,Jammu,JAMMU & KASHMIR
Drabi,Jammu,JAMMU & KASHMIR
Bhata,Jammu,JAMMU & KASHMIR
Nagrada,Jammu,JAMMU & KASHMIR
Chhuha,Jammu,JAMMU & KASHMIR
Jandyal,Jammu,JAMMU & KASHMIR
Agor,Jammu,JAMMU & KASHMIR
Chak Singha,Jammu,JAMMU & KASHMIR
Gorah Patan,Jammu,JAMMU & KASHMIR
Domi,Jammu,JAMMU & KASHMIR
Gharota,Jammu,JAMMU & KASHMIR
Ranjan,Jammu,JAMMU & KASHMIR
Kainkh,Jammu,JAMMU & KASHMIR
Shiba,Jammu,JAMMU & KASHMIR
Dhmoni Jagir,Jammu,JAMMU & KASHMIR
Panj Garain,Jammu,JAMMU & KASHMIR
Majra Kotli ( Kohali Jagir),Jammu,JAMMU & KASHMIR
Sukheter,Jammu,JAMMU & KASHMIR
Sandrot,Jammu,JAMMU & KASHMIR
Chappar,Jammu,JAMMU & KASHMIR
Dhami,Jammu,JAMMU & KASHMIR
Kotli Jhajjar,Jammu,JAMMU & KASHMIR
Chhurta,Jammu,JAMMU & KASHMIR
Chhadali,Jammu,JAMMU & KASHMIR
Dansal,Jammu,JAMMU & KASHMIR
Samral,Jammu,JAMMU & KASHMIR
Bhage,Jammu,JAMMU & KASHMIR
Badsu,Jammu,JAMMU & KASHMIR
Hurlani,Jammu,JAMMU & KASHMIR
Pahli,Jammu,JAMMU & KASHMIR
Salehe,Jammu,JAMMU & KASHMIR
Kanalah,Jammu,JAMMU & KASHMIR
Bhawta,Jammu,JAMMU & KASHMIR
Kah,Jammu,JAMMU & KASHMIR
Tardala (Un-inhabited),Jammu,JAMMU & KASHMIR
Makwal (Un-inhabited),Jammu,JAMMU & KASHMIR
Mathin,Jammu,JAMMU & KASHMIR
Karal,Jammu,JAMMU & KASHMIR
Charangal,Jammu,JAMMU & KASHMIR
Jhalar,Jammu,JAMMU & KASHMIR
Jandrah,Jammu,JAMMU & KASHMIR
Sahan,Jammu,JAMMU & KASHMIR
Dhanso,Jammu,JAMMU & KASHMIR
Kalyan,Jammu,JAMMU & KASHMIR
Bhagwani,Jammu,JAMMU & KASHMIR
Sari Khurd,Jammu,JAMMU & KASHMIR
Nagola,Jammu,JAMMU & KASHMIR
Sangad,Jammu,JAMMU & KASHMIR
Chak Chilah,Jammu,JAMMU & KASHMIR
Badgah,Jammu,JAMMU & KASHMIR
Dhabad,Jammu,JAMMU & KASHMIR
Chalanah,Jammu,JAMMU & KASHMIR
Blahad,Jammu,JAMMU & KASHMIR
Jib,Jammu,JAMMU & KASHMIR
Suhawada,Jammu,JAMMU & KASHMIR
Sari Kalan,Jammu,JAMMU & KASHMIR
Dahani,Jammu,JAMMU & KASHMIR
Leyi Pera,Jammu,JAMMU & KASHMIR
Korgasal,Jammu,JAMMU & KASHMIR
Dhan,Jammu,JAMMU & KASHMIR
Batona,Jammu,JAMMU & KASHMIR
Ponthal,Jammu,JAMMU & KASHMIR
Trijiad,Jammu,JAMMU & KASHMIR
Kanhal,Jammu,JAMMU & KASHMIR
Panjana,Jammu,JAMMU & KASHMIR
Thana,Jammu,JAMMU & KASHMIR
Patyadi,Jammu,JAMMU & KASHMIR
Jamil,Jammu,JAMMU & KASHMIR
Jandli,Jammu,JAMMU & KASHMIR
Khadta,Jammu,JAMMU & KASHMIR
Kothar,Jammu,JAMMU & KASHMIR
Batallehar,Jammu,JAMMU & KASHMIR
Kangarial,Jammu,JAMMU & KASHMIR
Badwal,Jammu,JAMMU & KASHMIR
Ringal,Jammu,JAMMU & KASHMIR
Pathwad,Jammu,JAMMU & KASHMIR
Sagon,Jammu,JAMMU & KASHMIR
Biral,Jammu,JAMMU & KASHMIR
Panjoa,Jammu,JAMMU & KASHMIR
Saroinsar,Jammu,JAMMU & KASHMIR
Chilah,Jammu,JAMMU & KASHMIR
Tahra,Jammu,JAMMU & KASHMIR
Janakh,Jammu,JAMMU & KASHMIR
Ban,Jammu,JAMMU & KASHMIR
Seri Khurd,Jammu,JAMMU & KASHMIR
Seri Kalan,Jammu,JAMMU & KASHMIR
Kheri Dadyal,Jammu,JAMMU & KASHMIR
Pangali,Jammu,JAMMU & KASHMIR
Dhar Dhrochan,Jammu,JAMMU & KASHMIR
Seri Panditian,Jammu,JAMMU & KASHMIR
Baran,Jammu,JAMMU & KASHMIR
Chak Bhalwal,Jammu,JAMMU & KASHMIR
Ambh,Jammu,JAMMU & KASHMIR
Malpur,Jammu,JAMMU & KASHMIR
Raj Pora,Jammu,JAMMU & KASHMIR
Dab Sudan,Jammu,JAMMU & KASHMIR
Panjod         ,Jammu,JAMMU & KASHMIR
Dub Dita,Jammu,JAMMU & KASHMIR
Manihal Brahmana,Jammu,JAMMU & KASHMIR
Dab Karamdin,Jammu,JAMMU & KASHMIR
Chak Shaman,Jammu,JAMMU & KASHMIR
Chak Mahani,Jammu,JAMMU & KASHMIR
Gorah Singno,Jammu,JAMMU & KASHMIR
Kengdel,Jammu,JAMMU & KASHMIR
Jagti,Jammu,JAMMU & KASHMIR
Dhami,Jammu,JAMMU & KASHMIR
Korjagir,Jammu,JAMMU & KASHMIR
Katal Batal,Jammu,JAMMU & KASHMIR
Nandor,Jammu,JAMMU & KASHMIR
Narain,Jammu,JAMMU & KASHMIR
Chak Rakwalan,Jammu,JAMMU & KASHMIR
Rotore Dhok,Jammu,JAMMU & KASHMIR
Kheri,Jammu,JAMMU & KASHMIR
Thathar,Jammu,JAMMU & KASHMIR
Kot,Jammu,JAMMU & KASHMIR
Wand Gahi,Jammu,JAMMU & KASHMIR
Harseh Tokriyan,Jammu,JAMMU & KASHMIR
Chak Jafar,Jammu,JAMMU & KASHMIR
Paryal,Jammu,JAMMU & KASHMIR
Bajyal,Jammu,JAMMU & KASHMIR
Khade,Jammu,JAMMU & KASHMIR
Kalyan Pur,Jammu,JAMMU & KASHMIR
Chak Kahna,Jammu,JAMMU & KASHMIR
Laliyal Jagir,Jammu,JAMMU & KASHMIR
Beli Azmat,Jammu,JAMMU & KASHMIR
Chak Umra (Un-inhabited),Jammu,JAMMU & KASHMIR
Nanon Chak,Jammu,JAMMU & KASHMIR
Ghatlah,Jammu,JAMMU & KASHMIR
Soi,Jammu,JAMMU & KASHMIR
Simbli,Jammu,JAMMU & KASHMIR
Jaswan,Jammu,JAMMU & KASHMIR
Makhyal(Matiyal),Jammu,JAMMU & KASHMIR
Chak Hira,Jammu,JAMMU & KASHMIR
Chhani Mamalian,Jammu,JAMMU & KASHMIR
Lador,Jammu,JAMMU & KASHMIR
Ladoori,Jammu,JAMMU & KASHMIR
Phalora Nagbani,Jammu,JAMMU & KASHMIR
Machliyan,Jammu,JAMMU & KASHMIR
Gurah Brahmana,Jammu,JAMMU & KASHMIR
Batoli Brahmana,Jammu,JAMMU & KASHMIR
Gaje Singh Pora,Jammu,JAMMU & KASHMIR
Rakh Magbani (Rakh Nagbani),Jammu,JAMMU & KASHMIR
Chak Bathali,Jammu,JAMMU & KASHMIR
Chak Jagir,Jammu,JAMMU & KASHMIR
Manyal Brahmana,Jammu,JAMMU & KASHMIR
Chak Dina,Jammu,JAMMU & KASHMIR
Halqa,Jammu,JAMMU & KASHMIR
Bagh Marh Sarkari,Jammu,JAMMU & KASHMIR
Marh,Jammu,JAMMU & KASHMIR
Chak Kalasa,Jammu,JAMMU & KASHMIR
Chak Galwade,Jammu,JAMMU & KASHMIR
Chhatha Jagir,Jammu,JAMMU & KASHMIR
Deode Napu,Jammu,JAMMU & KASHMIR
Chak Gangoo,Jammu,JAMMU & KASHMIR
Golpatan,Jammu,JAMMU & KASHMIR
Bathore,Jammu,JAMMU & KASHMIR
Gajansu,Jammu,JAMMU & KASHMIR
Chak Koulan,Jammu,JAMMU & KASHMIR
Chak Bhula,Jammu,JAMMU & KASHMIR
Karlup,Jammu,JAMMU & KASHMIR
Dhatriyal,Jammu,JAMMU & KASHMIR
Deodi Kabe,Jammu,JAMMU & KASHMIR
Ismail Pur,Jammu,JAMMU & KASHMIR
Parwah,Jammu,JAMMU & KASHMIR
Tikri Kehni,Jammu,JAMMU & KASHMIR
Chak Durga,Jammu,JAMMU & KASHMIR
Sangram Pur,Jammu,JAMMU & KASHMIR
Aqil Pur,Jammu,JAMMU & KASHMIR
Chak Pouni Wand(Brahmana),Jammu,JAMMU & KASHMIR
Brahamana Dhamwal,Jammu,JAMMU & KASHMIR
Chak Puniwan Wazirian,Jammu,JAMMU & KASHMIR
Saroda,Jammu,JAMMU & KASHMIR
Patniyal,Jammu,JAMMU & KASHMIR
Pachnand Pur (Un-inhabited),Jammu,JAMMU & KASHMIR
Gangwan,Jammu,JAMMU & KASHMIR
Shahzad Pur Bhopa Ganaya (Shahzad Pur),Jammu,JAMMU & KASHMIR
Shehjad Pur Marhata,Jammu,JAMMU & KASHMIR
Chak Chuhan,Jammu,JAMMU & KASHMIR
Rattan Pur Paras(Phalora Paras),Jammu,JAMMU & KASHMIR
Phalora Harmakund,Jammu,JAMMU & KASHMIR
Chak Budhu,Jammu,JAMMU & KASHMIR
Chak Singha,Jammu,JAMMU & KASHMIR
Chak Asran,Jammu,JAMMU & KASHMIR
Krapalpur Jatan,Jammu,JAMMU & KASHMIR
Chak Magna,Jammu,JAMMU & KASHMIR
Beli Bakayan ,Jammu,JAMMU & KASHMIR
